measure_order,measure_name,measure_group,display_folder,table_name,dashboard_page,page_order,starter_kit_scope,format_hint,format_string,preferred_visual_type,context_requirement,business_question,description,dax_template
62,Annual EBITDA,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Yearly EBITDA profile.,Yearly EBITDA profile.,"Annual EBITDA = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""ebitda_usd"")"
63,Annual Operating Cash Flow,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Yearly operating cash flow profile.,Yearly operating cash flow profile.,"Annual Operating Cash Flow = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""operating_cash_flow_usd"")"
64,Annual Free Cash Flow,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Yearly free cash flow profile.,Yearly free cash flow profile.,"Annual Free Cash Flow = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""free_cash_flow_usd"")"
65,Annual Capex,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Yearly capex profile.,Yearly capex profile.,"Annual Capex = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""capex_usd"")"
66,Annual Processed Tonnes,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Whole Number,"#,##0",KPI Card or Matrix,Use only on the appendix page with explicit scenario or appendix filter context.,Expanded throughput by project year.,Expanded throughput by project year.,"Annual Processed Tonnes = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""expanded_tonnes"")"
67,Annual Copper Fine Production,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Whole Number,"#,##0",KPI Card or Matrix,Use only on the appendix page with explicit scenario or appendix filter context.,Annual copper production in pounds.,Annual copper production in pounds.,"Annual Copper Fine Production = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""copper_fine_lb"")"
68,Annual Unit Opex,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Average unit operating cost by year.,Average unit operating cost by year.,"Annual Unit Opex = CALCULATE(AVERAGE(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""unit_opex_usd_per_tonne"")"
69,Annual Net Price,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Net realized copper price per pound by year.,Net realized copper price per pound by year.,"Annual Net Price = CALCULATE(AVERAGE(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""scenario_net_price_usd_per_lb"")"
70,Annual Head Grade %,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Head grade expressed as a percentage for charting.,Head grade expressed as a percentage for charting.,"Annual Head Grade % = CALCULATE(AVERAGE(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""scenario_grade"") * 100"
71,Annual Recovery %,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Metallurgical recovery expressed as a percentage for charting.,Metallurgical recovery expressed as a percentage for charting.,"Annual Recovery % = CALCULATE(AVERAGE(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""scenario_recovery"") * 100"
72,Expected NPV,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,simulation_summary,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Expected NPV from the Monte Carlo simulation.,Expected NPV from the Monte Carlo simulation.,"Expected NPV = CALCULATE(MAX(simulation_summary[value]), simulation_summary[metric] = ""expected_npv_usd"")"
73,Median NPV,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,simulation_summary,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Median NPV from the Monte Carlo simulation.,Median NPV from the Monte Carlo simulation.,"Median NPV = CALCULATE(MAX(simulation_summary[value]), simulation_summary[metric] = ""median_npv_usd"")"
74,Probability of Loss,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,simulation_summary,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Probability that simulated NPV is below zero.,Probability that simulated NPV is below zero.,"Probability of Loss = CALCULATE(MAX(simulation_summary[value]), simulation_summary[metric] = ""probability_of_loss"")"
75,VaR 5%,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,simulation_summary,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,5th percentile Value at Risk from the simulation.,5th percentile Value at Risk from the simulation.,"VaR 5% = CALCULATE(MAX(simulation_summary[value]), simulation_summary[metric] = ""var_usd"")"
76,CVaR 5%,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,simulation_summary,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Average outcome beyond the 5th percentile threshold.,Average outcome beyond the 5th percentile threshold.,"CVaR 5% = CALCULATE(MAX(simulation_summary[value]), simulation_summary[metric] = ""cvar_usd"")"
77,Tornado Impact,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_tornado_sensitivity,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Directional impact versus the base case for a selected tornado bar.,Directional impact versus the base case for a selected tornado bar.,Tornado Impact = MAX(fact_tornado_sensitivity[impact_vs_base_usd])
